u,u_name,u_kv,u_lines,v,v_name,v_kv,v_lines,length_km
303169,LIGHTPIPE,230,9,303540,CARSON,66,1,5.995296345366255
308581,STATION Q (HARBOR),138,3,309853,DOCK,66,2,5.9158361937327975
300493,STATION J,230,4,303620,TARZANA(STATION U),230,7,5.858053704005098
301614,PULPGEN,66,3,309042,RIVER,230,9,5.769165159700719
302187,DEL AMO,230,10,306224,LAKEWOOD,66,2,5.606177297300513
302164,BRIGHTON,115,2,309758,YUKON,66,5,5.5944772668956455
301745,WINDSOR HILLS,66,0,303099,STATION D (FAIRFAX),138,8,5.563615445438121
302164,BRIGHTON,115,2,306844,LA FRESA,230,12,5.435676032893881
304073,STATION B (CENTURY),230,8,306623,GRAMERCY,138,6,5.41447110533073
303099,STATION D (FAIRFAX),138,8,306444,STANHILL,66,0,5.390817669100811
301637,STATION N (AIRPORT),138,4,306444,STANHILL,66,0,5.306314937443488
306060,LAGUNA BELL,230,12,310504,BANDINI,66,2,5.287657291836277
306489,SYLMAR EAST,230,1,307693,RINALDI,500,16,5.242457067691309
301543,SEPLUVEDA,66,0,309156,FELTON,66,2,5.200880328372919
308471,TORRANCE,66,2,308806,MOBILOIL,66,3,5.134890344413389
301214,OLIVE,230,2,307693,RINALDI,500,16,5.023777408304147
304137,HALLDALE,138,3,308806,MOBILOIL,66,3,4.9501125002496495
301614,PULPGEN,66,3,310504,BANDINI,66,2,4.909121804780862
303620,TARZANA(STATION U),230,7,308991,STATION T,230,3,4.811090326998903
304450,HARBORGEN,230,4,307274,CAMERON,69,1,4.801399211576453
307693,RINALDI,500,16,310199,SYLMAR WEST,230,11,4.684715467621476
300390,HINSON,230,7,304450,HARBORGEN,230,4,4.587272112052284
308269,STATION F (VELASCO & KINETIC),230,7,310504,BANDINI,66,2,4.559223924235374
300144,STATION 11,138,1,302171,SAWTELLE,66,2,4.001331218764707
301100,UNKNOWN301100,230,1,301543,SEPLUVEDA,66,0,3.985848456495827
308269,STATION F (VELASCO & KINETIC),230,7,309042,RIVER,230,9,3.9575988127372375
300627,IMPERIAL TERMINAL TOWER,138,4,302164,BRIGHTON,115,2,3.8300803170730666
308581,STATION Q (HARBOR),138,3,310179,WILMINGTON (STATION C),138,8,3.811039680969933
300627,IMPERIAL TERMINAL TOWER,138,4,309758,YUKON,66,5,3.780669137541616
301543,SEPLUVEDA,66,0,310204,EL NIDO,230,7,3.5776688370912364
309156,FELTON,66,2,310204,EL NIDO,230,7,3.575732960516405
309042,RIVER,230,9,310527,STATION A (ST. JOHN),230,5,3.3845904441578427
301543,SEPLUVEDA,66,0,307832,UNKNOWN307832,230,0,3.38058421177158
302798,REPETTO,66,2,307785,WABASH,69,4,3.2209531088944976
306768,UNKNOWN306768,230,0,308206,NICHOLS CANYON,230,3,3.108100796290364
303899,STATION H (HOLLYWOOD),230,4,308206,NICHOLS CANYON,230,3,2.952940390057267
303303,HUGHTRON,66,1,308471,TORRANCE,66,2,2.8906459346997155
300144,STATION 11,138,1,301105,STATION K (OLYMPIC),230,8,2.8642036287216768
300627,IMPERIAL TERMINAL TOWER,138,4,306623,GRAMERCY,138,6,2.587242545608471
300144,STATION 11,138,1,309843,KENTER CANYON,230,2,2.5350438056779767
301108,CHEVMAIN,230,5,309703,EL SEGUNDO,230,2,2.476681213758785
302923,UNKNOWN302923,66,1,309703,EL SEGUNDO,230,2,2.4279567308906853
301105,STATION K (OLYMPIC),230,8,302171,SAWTELLE,66,2,2.352755736493468
300390,HINSON,230,7,306365,ARCOGEN,230,2,2.308139134481784
301541,MESA,230,9,308907,NEWMARK,66,3,2.297078531853836
301614,PULPGEN,66,3,308269,STATION F (VELASCO & KINETIC),230,7,2.2540592123775576
307557,ROSECRANS,66,1,307832,UNKNOWN307832,230,0,2.1350342993647904
300105,WALNUT,230,5,300408,PUENTE,66,5,2.00122657789198
309553,STATION L (SCATTERGOOD),230,2,309703,EL SEGUNDO,230,2,1.8585179455326413
301105,STATION K (OLYMPIC),230,8,306694,COLORADO,66,2,1.8048981097046024
301108,CHEVMAIN,230,5,302923,UNKNOWN302923,66,1,1.7226527421214446
304450,HARBORGEN,230,4,308540,LONG BEACH,230,4,1.5617901156369678
301745,WINDSOR HILLS,66,0,306444,STANHILL,66,0,1.552881875087985
301100,UNKNOWN301100,230,1,309553,STATION L (SCATTERGOOD),230,2,1.4972049897866664
301214,OLIVE,230,2,310199,SYLMAR WEST,230,11,1.4959671723131
306844,LA FRESA,230,12,308806,MOBILOIL,66,3,1.395820293480544
308367,FUEL,230,1,309853,DOCK,66,2,1.3509430675133267
307832,UNKNOWN307832,230,0,310204,EL NIDO,230,7,1.335214131799969
301745,WINDSOR HILLS,66,0,305885,LA BREA,138,8,1.3161035880703758
300390,HINSON,230,7,307274,CAMERON,69,1,1.1338481760312669
307039,ALAMITOS,230,7,307373,HAYNES,230,6,1.0310529343281862
306489,SYLMAR EAST,230,1,310199,SYLMAR WEST,230,11,0.8929586450584633
303344,CHEVGEN,66,2,305780,THERMAS,66,0,0.8879405096420163
301214,OLIVE,230,2,306489,SYLMAR EAST,230,1,0.7744134788848472
302297,TRISONIC,66,1,306091,DOUGLAS,66,1,0.7245175807489578
306444,STANHILL,66,0,308786,LA CIENEGA,230,3,0.5803725849260367
301108,CHEVMAIN,230,5,307557,ROSECRANS,66,1,0.5382851253437774
302923,UNKNOWN302923,66,1,303344,CHEVGEN,66,2,0.4452649050047783
307512,GRAYSON,230,2,308494,AIRWAY,230,6,0.3971275929254044
