src,src_name,tgt,tgt_name,length_km,near_substation_id,near_substation_name,distance_to_path_px
304731,REDONDO,305984,RIO HONDO,56.58,306844,LA FRESA,13.780402520334079
304731,REDONDO,305984,RIO HONDO,56.58,306060,LAGUNA BELL,19.170964723997454
304731,REDONDO,305984,RIO HONDO,56.58,301489,BULLIS,20.803485284922797
304731,REDONDO,306060,LAGUNA BELL,33.5,308806,MOBILOIL,1.669999999999959
304731,REDONDO,306060,LAGUNA BELL,33.5,305084,VICTORIA,2.379436433422306
304731,REDONDO,306060,LAGUNA BELL,33.5,303169,LIGHTPIPE,10.884617540818823
304731,REDONDO,306060,LAGUNA BELL,33.5,304137,HALLDALE,13.243419938955736
304731,REDONDO,306060,LAGUNA BELL,33.5,306844,LA FRESA,13.780402520334079
304731,REDONDO,306060,LAGUNA BELL,33.5,301489,BULLIS,20.803485284922797
304731,REDONDO,306060,LAGUNA BELL,33.5,303540,CARSON,21.093861166923
304731,REDONDO,306060,LAGUNA BELL,33.5,308471,TORRANCE,33.422066064203804
304731,REDONDO,306365,ARCOGEN,25.42,300390,HINSON,1.5941506588796521
304731,REDONDO,306365,ARCOGEN,25.42,308806,MOBILOIL,1.669999999999959
304731,REDONDO,306365,ARCOGEN,25.42,305084,VICTORIA,2.379436433422306
304731,REDONDO,306365,ARCOGEN,25.42,304137,HALLDALE,7.0001785691509335
304731,REDONDO,306365,ARCOGEN,25.42,307274,CAMERON,7.493210259962071
304731,REDONDO,306365,ARCOGEN,25.42,310179,WILMINGTON (STATION C),12.683782215782106
304731,REDONDO,306365,ARCOGEN,25.42,306844,LA FRESA,13.780402520334079
304731,REDONDO,306365,ARCOGEN,25.42,304450,HARBORGEN,31.961478376320507
304731,REDONDO,308540,LONG BEACH,26.06,304450,HARBORGEN,1.1616343474585096
304731,REDONDO,308540,LONG BEACH,26.06,308806,MOBILOIL,1.669999999999959
304731,REDONDO,308540,LONG BEACH,26.06,308367,FUEL,2.0305248694049167
304731,REDONDO,308540,LONG BEACH,26.06,305084,VICTORIA,2.379436433422306
304731,REDONDO,308540,LONG BEACH,26.06,304137,HALLDALE,7.0001785691509335
304731,REDONDO,308540,LONG BEACH,26.06,306365,ARCOGEN,11.54000397024326
304731,REDONDO,308540,LONG BEACH,26.06,310179,WILMINGTON (STATION C),12.683782215782106
304731,REDONDO,308540,LONG BEACH,26.06,306844,LA FRESA,13.780402520334079
305084,VICTORIA,306268,WESTEX,29.64,308806,MOBILOIL,1.669999999999959
305084,VICTORIA,306268,WESTEX,29.64,303169,LIGHTPIPE,3.299515115892063
305084,VICTORIA,306268,WESTEX,29.64,304137,HALLDALE,13.243419938955736
305084,VICTORIA,306268,WESTEX,29.64,306844,LA FRESA,13.780402520334079
305084,VICTORIA,306268,WESTEX,29.64,304731,REDONDO,18.435739746481513
305084,VICTORIA,306268,WESTEX,29.64,303540,CARSON,20.739502224950126
305084,VICTORIA,306268,WESTEX,29.64,301489,BULLIS,23.74893695478865
305084,VICTORIA,306268,WESTEX,29.64,308471,TORRANCE,33.422066064203804
305084,VICTORIA,307564,JOSE,46.46,308806,MOBILOIL,1.669999999999959
305084,VICTORIA,307564,JOSE,46.46,303169,LIGHTPIPE,10.884617540818823
305084,VICTORIA,307564,JOSE,46.46,304137,HALLDALE,13.243419938955736
305084,VICTORIA,307564,JOSE,46.46,306844,LA FRESA,13.780402520334079
305084,VICTORIA,307564,JOSE,46.46,304731,REDONDO,18.435739746481513
305084,VICTORIA,307564,JOSE,46.46,306060,LAGUNA BELL,19.170964723997454
305084,VICTORIA,307564,JOSE,46.46,301489,BULLIS,20.803485284922797
305084,VICTORIA,307564,JOSE,46.46,303540,CARSON,21.093861166923
305084,VICTORIA,310504,BANDINI,35.08,308806,MOBILOIL,1.669999999999959
305084,VICTORIA,310504,BANDINI,35.08,303169,LIGHTPIPE,10.884617540818823
305084,VICTORIA,310504,BANDINI,35.08,304137,HALLDALE,13.243419938955736
305084,VICTORIA,310504,BANDINI,35.08,306844,LA FRESA,13.780402520334079
305084,VICTORIA,310504,BANDINI,35.08,304731,REDONDO,18.435739746481513
305084,VICTORIA,310504,BANDINI,35.08,301489,BULLIS,20.803485284922797
305084,VICTORIA,310504,BANDINI,35.08,303540,CARSON,21.093861166923
305084,VICTORIA,310504,BANDINI,35.08,306060,LAGUNA BELL,23.700569613408042
305084,VICTORIA,307274,CAMERON,21.78,308806,MOBILOIL,1.669999999999959
305084,VICTORIA,307274,CAMERON,21.78,300390,HINSON,4.429220431472494
305084,VICTORIA,307274,CAMERON,21.78,304137,HALLDALE,7.0001785691509335
305084,VICTORIA,307274,CAMERON,21.78,306365,ARCOGEN,11.54000397024326
305084,VICTORIA,307274,CAMERON,21.78,310179,WILMINGTON (STATION C),12.683782215782106
305084,VICTORIA,307274,CAMERON,21.78,306844,LA FRESA,13.780402520334079
305084,VICTORIA,307274,CAMERON,21.78,304731,REDONDO,18.435739746481513
305084,VICTORIA,307274,CAMERON,21.78,304450,HARBORGEN,31.961478376320507
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,310204,EL NIDO,2.1094336647338494
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,301637,STATION N (AIRPORT),5.027469550850973
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,309156,FELTON,5.681295599813094
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,306444,STANHILL,6.1088869689985374
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,301745,WINDSOR HILLS,10.23144662303429
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,305885,LA BREA,11.272852758725216
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,308786,LA CIENEGA,11.274063153983157
303099,STATION D (FAIRFAX),305084,VICTORIA,22.8,307832,UNKNOWN307832,14.593289553764142
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,308806,MOBILOIL,1.669999999999959
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,310179,WILMINGTON (STATION C),4.935284558158036
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,304137,HALLDALE,7.0001785691509335
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,306844,LA FRESA,13.780402520334079
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,304731,REDONDO,18.435739746481513
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,306365,ARCOGEN,31.3296856032741
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,308471,TORRANCE,33.422066064203804
305084,VICTORIA,308581,STATION Q (HARBOR),20.63,309853,DOCK,34.219294265078005
300105,WALNUT,305084,VICTORIA,53.29,308806,MOBILOIL,1.669999999999959
300105,WALNUT,305084,VICTORIA,53.29,307564,JOSE,8.485499943607051
300105,WALNUT,305084,VICTORIA,53.29,303169,LIGHTPIPE,10.884617540818823
300105,WALNUT,305084,VICTORIA,53.29,304137,HALLDALE,13.243419938955736
300105,WALNUT,305084,VICTORIA,53.29,306844,LA FRESA,13.780402520334079
300105,WALNUT,305084,VICTORIA,53.29,304731,REDONDO,18.435739746481513
300105,WALNUT,305084,VICTORIA,53.29,306060,LAGUNA BELL,19.170964723997454
300105,WALNUT,305084,VICTORIA,53.29,301489,BULLIS,20.803485284922797
300390,HINSON,305084,VICTORIA,21.56,308806,MOBILOIL,1.669999999999959
300390,HINSON,305084,VICTORIA,21.56,307274,CAMERON,6.180291255272747
300390,HINSON,305084,VICTORIA,21.56,304137,HALLDALE,7.0001785691509335
300390,HINSON,305084,VICTORIA,21.56,306365,ARCOGEN,11.54000397024326
300390,HINSON,305084,VICTORIA,21.56,310179,WILMINGTON (STATION C),12.683782215782106
300390,HINSON,305084,VICTORIA,21.56,306844,LA FRESA,13.780402520334079
300390,HINSON,305084,VICTORIA,21.56,304731,REDONDO,18.435739746481513
300390,HINSON,305084,VICTORIA,21.56,304450,HARBORGEN,31.961478376320507
303169,LIGHTPIPE,305084,VICTORIA,20.55,308806,MOBILOIL,1.669999999999959
303169,LIGHTPIPE,305084,VICTORIA,20.55,304137,HALLDALE,13.243419938955736
303169,LIGHTPIPE,305084,VICTORIA,20.55,306844,LA FRESA,13.780402520334079
303169,LIGHTPIPE,305084,VICTORIA,20.55,304731,REDONDO,18.435739746481513
303169,LIGHTPIPE,305084,VICTORIA,20.55,303540,CARSON,20.739502224950126
303169,LIGHTPIPE,305084,VICTORIA,20.55,301489,BULLIS,23.74893695478865
303169,LIGHTPIPE,305084,VICTORIA,20.55,308471,TORRANCE,33.422066064203804
303169,LIGHTPIPE,305084,VICTORIA,20.55,310204,EL NIDO,45.7508174790353
304073,STATION B (CENTURY),305084,VICTORIA,20.78,308806,MOBILOIL,1.669999999999959
304073,STATION B (CENTURY),305084,VICTORIA,20.78,304137,HALLDALE,13.243419938955736
304073,STATION B (CENTURY),305084,VICTORIA,20.78,306844,LA FRESA,13.780402520334079
304073,STATION B (CENTURY),305084,VICTORIA,20.78,304731,REDONDO,18.435739746481513
304073,STATION B (CENTURY),305084,VICTORIA,20.78,308471,TORRANCE,33.422066064203804
304073,STATION B (CENTURY),305084,VICTORIA,20.78,310204,EL NIDO,45.7508174790353
304073,STATION B (CENTURY),305084,VICTORIA,20.78,307832,UNKNOWN307832,51.173533198324336
