src,tgt,length_km,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m
306091,306623,11.131106156030368,302297,TRISONIC,212.75626097453238,171.445180743016
306091,306844,11.225981595733602,310204,EL NIDO,179.03570298322637,4954.23153279808
306091,307557,6.373868087577279,302297,TRISONIC,212.75626097453238,171.445180743016
306091,307832,4.881382894665157,302297,TRISONIC,212.75626097453238,171.445180743016
306091,308471,16.521864597262294,310204,EL NIDO,179.03570298322637,4954.23153279808
306091,308786,12.493483790329101,306444,STANHILL,78.08408650632371,11991.235276072519
306091,309156,4.34336474676301,302297,TRISONIC,212.75626097453238,171.445180743016
306091,309758,11.758365032260906,302297,TRISONIC,212.75626097453238,171.445180743016
306091,310204,5.078467519984813,302297,TRISONIC,212.75626097453238,171.445180743016
306365,306844,20.53967683502252,300390,HINSON,127.45723735120436,2155.6950389382805
306365,307039,26.684057398032753,300390,HINSON,127.45723735120436,2155.6950389382805
306365,308471,23.70655952905402,300390,HINSON,127.45723735120436,2155.6950389382805
306365,308540,8.263972476085444,304450,HARBORGEN,92.64880905457912,6714.937772326409
306365,308806,19.506057788672873,300390,HINSON,127.45723735120436,2155.6950389382805
306365,309758,25.973838911309496,300390,HINSON,127.45723735120436,2155.6950389382805
306365,310179,8.50110628468748,300390,HINSON,127.45723735120436,2155.6950389382805
306444,306623,10.696401184313835,305885,LA BREA,139.7049037917456,2323.298382545048
306444,306844,18.7909705102809,309156,FELTON,94.75686731619956,11172.895382928054
306444,307557,16.67688660031335,310204,EL NIDO,191.06278975995133,13535.64960050482
306444,308471,25.17004733223143,310204,EL NIDO,179.03570298322637,13602.414267767226
306444,309758,16.59889193983324,305885,LA BREA,139.7049037917456,2323.298382545048
306450,308540,32.323628461111866,307274,CAMERON,5.407243247752024,26025.613245222652
306450,308907,18.872581959074093,306060,LAGUNA BELL,120.84072938109477,10311.796555550349
306623,307557,14.916878333943597,310204,EL NIDO,191.06278975995133,11775.641334135067
306623,308786,11.12052562790096,306444,STANHILL,78.08408650632371,10618.277113644379
306768,309042,21.17613940761949,310527,STATION A (ST. JOHN),168.56063250182225,17757.7191338036
306844,308471,6.450313407837931,308806,MOBILOIL,151.03650197213074,1260.894548192288
306844,308540,21.1824453124015,304450,HARBORGEN,92.64880905457912,19633.41060864246
306844,308581,17.515883321878306,308806,MOBILOIL,151.66741502069428,1244.1911406107765
306844,308786,19.21509495386803,306444,STANHILL,78.08408650632371,18712.846439611447
306844,310179,14.29844836856116,308806,MOBILOIL,151.66741502069428,1244.1911406107765
307039,308540,27.29071200355553,304450,HARBORGEN,92.64880905457912,25741.67729979649
307274,308540,6.327427702214864,304450,HARBORGEN,92.64880905457912,4778.392998455828
307557,308786,17.101011043900478,306444,STANHILL,78.08408650632371,16598.762529643896
307557,309703,2.888712822841664,301108,CHEVMAIN,58.492870691279315,428.05035427022904
307557,309758,15.544137210174137,310204,EL NIDO,191.06278975995133,3141.236999808531
307557,310204,2.9814818916901813,307832,UNKNOWN307832,280.30465427016134,1337.3867764418374
307564,310504,17.98950469579127,301541,MESA,212.43823820414963,9101.849693779917
307785,309042,22.135539882125848,310527,STATION A (ST. JOHN),168.56063250182225,18717.119608309953
308471,308540,24.349328006433016,304450,HARBORGEN,92.64880905457912,22800.293302673977
308471,308786,25.594171775818552,306444,STANHILL,78.08408650632371,25091.92326156197
308494,309843,33.48286194340174,300144,STATION 11,17.930268039182533,30948.3974381001
308540,308806,20.14882626605185,304450,HARBORGEN,92.64880905457912,1549.0347037590373
308540,309758,26.616607388688475,304450,HARBORGEN,92.64880905457912,1549.0347037590373
308540,310179,9.143874762066458,304450,HARBORGEN,92.64880905457912,1549.0347037590373
308786,309156,11.56369285828143,306444,STANHILL,78.08408650632371,502.24851425658267
308786,309758,17.02301638342037,306444,STANHILL,78.08408650632371,502.24851425658267
308786,310204,14.150774698541086,306444,STANHILL,78.08408650632371,502.24851425658267
309042,309843,46.19500989965798,300144,STATION 11,17.930268039182533,43660.545394356326
309843,310527,42.828179613193804,300144,STATION 11,17.930268039182536,2534.4645053016434
