substation_id,degree,NAME,CITY,Owner,MAX_VOLT,LINES,role_key,role_text,is_source,source_role_score,MAX_VOLT_N,LINES_N,is_role_hub,is_voltage_hub,is_line_hub,hub_evidence_count,sanity_flag,threshold
307039,8,ALAMITOS,LONG BEACH,SCE,230,7,core,core in_basin_generation_proxy,True,1.0,230,7,True,True,True,3,ok,le_40km
308786,8,LA CIENEGA,LADERA HEIGHTS,SCE,230,3,transit,transit transit_hub_not_source,False,0.6,230,3,True,True,False,2,ok,le_40km
301558,8,EAGLE ROCK,GLENDALE,SCE,230,9,,,,,230,9,False,True,True,2,ok,le_40km
301637,8,STATION N (AIRPORT),LOS ANGELES,LADWP,138,4,,,,,138,4,False,True,False,1,ok,le_40km
302297,7,TRISONIC,EL SEGUNDO,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_40km
302164,18,BRIGHTON,GARDENA,SCE,115,2,,,,,115,2,False,False,False,0,ok,le_50km
306844,17,LA FRESA,TORRANCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_50km
303169,17,LIGHTPIPE,LONG BEACH,SCE,230,9,transit,transit transit_hub_not_source,False,0.6,230,9,True,True,True,3,ok,le_50km
308471,16,TORRANCE,TORRANCE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_50km
303540,16,CARSON,COMPTON,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_50km
304137,16,HALLDALE,LOS ANGELES,LADWP,138,3,,,,,138,3,False,True,False,1,ok,le_50km
306450,16,VERNON,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_50km
301614,15,PULPGEN,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_50km
310179,15,WILMINGTON (STATION C),LOS ANGELES,LADWP,138,8,transit,transit transit_hub_not_source,False,0.6,138,8,True,True,True,3,ok,le_50km
300232,15,CENTER,NORWALK,SCE,230,7,,,,,230,7,False,True,True,2,ok,le_50km
306060,14,LAGUNA BELL,COMMERCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_50km
309758,14,YUKON,HAWTHORNE,SCE,66,5,,,,,66,5,False,False,False,0,ok,le_50km
308806,13,MOBILOIL,TORRANCE,SCE,66,3,,,,,66,3,False,False,False,0,ok,le_50km
309042,13,RIVER,LOS ANGELES,LADWP,230,9,,,,,230,9,False,True,True,2,ok,le_50km
