src,tgt,length_km,path_nodes_count,decision,blocker_tolerance_m,debug_search_radius_m,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m,path_length_km,within_blocker_tolerance
300390,306450,27.130048934928265,158,blocked_by_near_substation,300.0,1000.0,307274,CAMERON,5.407243247752024,1104.4356897056148,27.130048934928265,True
300390,310179,6.353637547727057,39,accepted,300.0,1000.0,,,,,6.353637547727057,False
300390,309758,23.826370174349066,133,accepted,300.0,1000.0,,,,,23.826370174349066,False
303303,308471,2.8906459346997155,15,accepted,300.0,1000.0,,,,,2.8906459346997155,False
300627,306844,8.589923585612171,38,accepted,300.0,1000.0,309758,YUKON,815.1988111211134,2751.1850556868912,8.589923585612171,False
300627,303169,19.287746276365045,121,accepted,300.0,1000.0,,,,,19.287746276365045,False
300627,308540,24.82933104181415,130,blocked_by_near_substation,300.0,1000.0,304450,HARBORGEN,92.64880905457912,23280.296338055112,24.82933104181415,True
300627,301543,10.411596864182306,59,accepted,300.0,1000.0,306091,DOUGLAS,326.2064385943558,7948.37863991234,10.411596864182306,False
300627,301637,11.452098218253212,67,accepted,300.0,1000.0,,,,,11.452098218253212,False
300627,302297,9.781264420835805,60,blocked_by_near_substation,300.0,1000.0,306091,DOUGLAS,255.89397057221652,9748.561515766074,9.781264420835805,True
300627,310179,18.266079856064447,100,accepted,300.0,1000.0,,,,,18.266079856064447,False
300627,309758,3.7806691375416155,23,accepted,300.0,1000.0,,,,,3.7806691375416155,False
306844,307564,41.792516758446986,253,accepted,300.0,1000.0,303169,LIGHTPIPE,980.2882903987321,25310.25112288932,41.792516758446986,False
306369,307564,34.462703110370015,252,accepted,300.0,1000.0,,,,,34.462703110370015,False
306060,307564,16.723284379438653,106,accepted,300.0,1000.0,,,,,16.723284379438653,False
303169,307564,26.23476518550027,146,accepted,300.0,1000.0,,,,,26.23476518550027,False
301541,307564,10.103368352744509,53,accepted,300.0,1000.0,,,,,10.103368352744509,False
307564,308806,42.50578799701917,255,accepted,300.0,1000.0,303169,LIGHTPIPE,980.2882903987321,25310.25112288932,42.50578799701917,False
300408,307564,10.76881717697762,78,blocked_by_near_substation,300.0,1000.0,300105,WALNUT,193.8184176191819,8910.241515267708,10.76881717697762,True
305984,307564,14.295765097340139,74,accepted,300.0,1000.0,,,,,14.295765097340139,False
304073,307564,27.78027728145394,152,accepted,300.0,1000.0,,,,,27.78027728145394,False
307564,308471,46.70628973740034,280,accepted,300.0,1000.0,308806,MOBILOIL,365.2299319355559,42162.917007326316,46.70628973740034,False
300105,307564,9.027124555546129,57,accepted,300.0,1000.0,,,,,9.027124555546129,False
309042,309843,46.195009899658,315,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182536,2534.4645053016434,46.195009899658,True
302171,309843,6.521451875498692,69,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182536,2534.4645053016434,6.521451875498692,True
300144,309843,2.5350438056779767,48,accepted,300.0,1000.0,,,,,2.5350438056779767,False
309843,310527,42.828179613193804,303,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182536,2534.4645053016434,42.828179613193804,True
303099,309843,14.3141086542113,115,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182536,2534.4645053016434,14.3141086542113,True
300429,309843,27.48445077961262,198,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182536,2534.4645053016434,27.48445077961262,True
301194,309843,37.37578219322489,254,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182536,2534.4645053016434,37.37578219322489,True
301105,309843,5.396993288016607,63,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182536,2534.4645053016434,5.396993288016607,True
303620,309843,14.334136241013791,51,accepted,300.0,1000.0,,,,,14.334136241013791,False
