line_row_index,line_part_index,endpoint_type,original_x,original_y,repaired_x,repaired_y,repair_type,cluster_id,nearest_substation_id,nearest_substation_name,nearest_distance_m,second_nearest_substation_id,second_nearest_distance_m,snap_decision_reason,endpoint_key
492,0,end,224862.0597816312,-442753.27938900003,224862.0597816312,-442753.27938900003,none,,300558,GANESHA,20239.466898960603,301517,26761.64079276066,outside_secondary_tolerance,492:0:end
493,0,start,189459.20177724026,-443231.39430277515,189372.4181921328,-443217.992404826,substation_snap_primary,,300105,WALNUT,87.81230843533083,300408,1700.7207901372742,primary_tier_within_150m,493:0:start
493,0,end,192752.4267624104,-447562.0677983402,192752.4267624104,-447562.0677983402,none,,306279,OLINDA,2576.1882291304096,300408,4760.79581214376,outside_secondary_tolerance,493:0:end
494,0,start,192752.4267624104,-447562.0677983402,192752.4267624104,-447562.0677983402,none,,306279,OLINDA,2576.1882291304096,300408,4760.79581214376,outside_secondary_tolerance,494:0:start
494,0,end,191982.1952269635,-450024.05227328604,192066.38237716534,-450045.2288670959,substation_snap_primary,,306279,OLINDA,86.80970213343664,300408,6995.3842131028405,primary_tier_within_150m,494:0:end
495,0,start,224862.0597816312,-442753.27938900003,224862.0597816312,-442753.27938900003,none,,300558,GANESHA,20239.466898960603,301517,26761.64079276066,outside_secondary_tolerance,495:0:start
495,0,end,224873.1523353344,-442543.79859496513,224873.1523353344,-442543.79859496513,none,,300558,GANESHA,20195.581451141134,301517,26776.87151666789,outside_secondary_tolerance,495:0:end
496,0,start,224862.0597816312,-442753.27938900003,224862.0597816312,-442753.27938900003,none,,300558,GANESHA,20239.466898960603,301517,26761.64079276066,outside_secondary_tolerance,496:0:start
496,0,end,225051.9839962292,-442472.19403473614,225051.9839962292,-442472.19403473614,none,,300558,GANESHA,20350.48165479831,301517,26957.43216695855,outside_secondary_tolerance,496:0:end
497,0,start,225082.33079601658,-442471.270390071,225082.33079601658,-442471.270390071,none,,300558,GANESHA,20379.633482038233,301517,26987.7927451114,outside_secondary_tolerance,497:0:start
497,0,end,226386.14820876473,-439923.44773449143,226386.14820876473,-439923.44773449143,none,,300558,GANESHA,21190.377604964353,301517,28468.96368770242,outside_secondary_tolerance,497:0:end
498,0,start,226386.14820876473,-439923.44773449143,226386.14820876473,-439923.44773449143,none,,300558,GANESHA,21190.377604964353,301517,28468.96368770242,outside_secondary_tolerance,498:0:start
498,0,end,226386.14820876473,-439923.44773449143,226386.14820876473,-439923.44773449143,none,,300558,GANESHA,21190.377604964353,301517,28468.96368770242,outside_secondary_tolerance,498:0:end
499,0,start,242060.78017692154,-402097.5036167647,242060.78017692154,-402097.5036167647,none,,300558,GANESHA,50917.29279919868,301517,60164.73179830938,outside_secondary_tolerance,499:0:start
499,0,end,330599.0370689639,-353116.489915384,330599.0370689639,-353116.489915384,none,,300558,GANESHA,150956.33928414417,301517,160206.12503068222,outside_secondary_tolerance,499:0:end
500,0,start,242146.46993521953,-402151.8252169769,242146.46993521953,-402151.8252169769,none,,300558,GANESHA,50941.530153653286,301517,60190.327275230804,outside_secondary_tolerance,500:0:start
500,0,end,330627.84961223666,-353139.05083189113,330627.84961223666,-353139.05083189113,none,,300558,GANESHA,150967.6559764134,301517,160217.27485784737,outside_secondary_tolerance,500:0:end
501,0,start,217495.73873855532,-430109.0643092976,217495.73873855532,-430109.0643092976,none,,300558,GANESHA,14156.324725888237,301517,23384.51473697941,outside_secondary_tolerance,501:0:start
501,0,end,218044.11707817242,-426170.3596738577,218044.11707817242,-426170.3596738577,none,,300558,GANESHA,16935.45669015333,301517,26208.097979542716,outside_secondary_tolerance,501:0:end
502,0,start,217635.03501094558,-430075.7835238809,217635.03501094558,-430075.7835238809,none,,300558,GANESHA,14293.003668101182,301517,23518.681073053536,outside_secondary_tolerance,502:0:start
502,0,end,217495.73873855532,-430109.0643092976,217495.73873855532,-430109.0643092976,none,,300558,GANESHA,14156.324725888237,301517,23384.51473697941,outside_secondary_tolerance,502:0:end
503,0,start,217642.4850220983,-430169.66477128817,217642.4850220983,-430169.66477128817,none,,300558,GANESHA,14251.684949336586,301517,23472.711983585818,outside_secondary_tolerance,503:0:start
503,0,end,217495.73873855532,-430109.0643092976,217495.73873855532,-430109.0643092976,none,,300558,GANESHA,14156.324725888237,301517,23384.51473697941,outside_secondary_tolerance,503:0:end
504,0,start,166565.94753989234,-419814.7919395366,166565.94753989234,-419814.7919395366,none,,300829,GOULD,474.2410201032557,304040,3263.2469889052377,outside_secondary_tolerance,504:0:start
504,0,end,166804.16671432485,-419907.6924816794,167007.34836989242,-419988.1985496292,substation_snap_secondary,,300829,GOULD,218.54979326442052,304040,3046.1652130368675,secondary_tier_guard_passed,504:0:end
505,0,start,164574.24159089595,-465251.6600388009,164574.24159089595,-465251.6600388009,none,,300390,HINSON,584.9438826948341,307274,779.4470713764192,outside_secondary_tolerance,505:0:start
505,0,end,164574.24159089595,-465251.6600388009,164574.24159089595,-465251.6600388009,none,,300390,HINSON,584.9438826948341,307274,779.4470713764192,outside_secondary_tolerance,505:0:end
506,0,start,164273.83880986576,-470370.27566921106,164273.83880986576,-470370.27566921106,substation_snap_secondary_rejected,,308540,LONG BEACH,330.5845317051008,308367,362.52162209373296,secondary_margin_guard_failed;secondary_ratio_guard_failed,506:0:start
506,0,end,164224.24679676938,-469160.1296855011,164217.40247666306,-469157.3663211409,substation_snap_primary,,304450,HARBORGEN,7.381117822187405,308540,1506.1548371938834,primary_tier_within_150m,506:0:end
507,0,start,164273.83880986576,-470370.27566921106,164273.83880986576,-470370.27566921106,substation_snap_secondary_rejected,,308540,LONG BEACH,330.5845317051008,308367,362.52162209373296,secondary_margin_guard_failed;secondary_ratio_guard_failed,507:0:start
