node,node_name,neighbor,neighbor_name,neighbor_city,neighbor_voltage,neighbor_lines,length_km,path_nodes_count,path_segments_count,bbox
308216,ROLLING HILLS,308806,MOBILOIL,TORRANCE,66,3,12.05,96,95,"[356.5, 605.32, 413.68, 669.31]"
308216,ROLLING HILLS,305084,VICTORIA,REDONDO BEACH,66,3,8.02,72,71,"[356.5, 604.89, 388.52, 669.31]"
308216,ROLLING HILLS,304731,REDONDO,REDONDO BEACH,66,1,7.79,67,66,"[349.51, 611.9, 388.52, 669.31]"
308471,TORRANCE,300408,PUENTE,INDUSTRY,66,5,54.98,328,327,"[400.2, 391.5, 882.43, 641.25]"
308471,TORRANCE,305984,RIO HONDO,IRWINDALE,230,8,54.87,295,294,"[400.2, 300.98, 824.49, 641.25]"
308471,TORRANCE,300105,WALNUT,INDUSTRY,230,5,53.28,308,307,"[400.2, 391.5, 859.94, 641.25]"
308471,TORRANCE,307564,JOSE,AVOCADO HEIGHTS,66,0,46.45,269,268,"[400.2, 383.67, 775.28, 641.25]"
308471,TORRANCE,310504,BANDINI,VERNON,66,2,35.08,221,220,"[400.2, 430.94, 605.82, 641.25]"
308471,TORRANCE,306060,LAGUNA BELL,COMMERCE,230,12,31.79,202,201,"[400.2, 460.53, 629.4, 641.25]"
308471,TORRANCE,306268,WESTEX,SIGNAL HILL,66,2,29.63,169,168,"[400.2, 577.69, 606.42, 663.35]"
308471,TORRANCE,303099,STATION D (FAIRFAX),LOS ANGELES,138,8,29.38,196,195,"[364.84, 384.19, 405.5, 640.71]"
308471,TORRANCE,308786,LA CIENEGA,LADERA HEIGHTS,230,3,25.59,178,177,"[360.65, 430.09, 405.5, 640.71]"
308471,TORRANCE,306444,STANHILL,LADERA HEIGHTS,66,0,25.17,177,176,"[364.84, 430.49, 405.5, 640.71]"
308471,TORRANCE,308540,LONG BEACH,LONG BEACH,230,4,24.35,139,138,"[400.2, 605.04, 543.16, 719.95]"
308471,TORRANCE,306365,ARCOGEN,CARSON,230,2,23.71,140,139,"[400.2, 605.04, 542.7, 671.93]"
308471,TORRANCE,304450,HARBORGEN,LOS ANGELES,230,4,22.8,135,134,"[400.2, 605.04, 542.68, 703.34]"
308471,TORRANCE,301489,BULLIS,COMPTON,66,2,22.19,139,138,"[400.2, 554.07, 577.27, 641.25]"
308471,TORRANCE,307274,CAMERON,LONG BEACH,69,1,21.77,145,144,"[400.2, 605.04, 548.52, 671.93]"
308471,TORRANCE,300390,HINSON,LONG BEACH,230,7,21.56,132,131,"[400.2, 605.04, 542.7, 671.93]"
308471,TORRANCE,304073,STATION B (CENTURY),LOS ANGELES,230,8,20.78,110,109,"[400.2, 495.12, 504.51, 641.25]"
308471,TORRANCE,308581,STATION Q (HARBOR),LOS ANGELES,138,3,20.62,113,112,"[400.2, 605.04, 496.4, 713.7]"
308471,TORRANCE,303169,LIGHTPIPE,LONG BEACH,230,9,20.55,111,110,"[400.2, 577.69, 598.16, 641.25]"
308471,TORRANCE,301637,STATION N (AIRPORT),LOS ANGELES,138,4,20.48,136,135,"[363.19, 477.86, 405.5, 640.71]"
308471,TORRANCE,310179,WILMINGTON (STATION C),LOS ANGELES,138,8,17.41,103,102,"[400.2, 605.04, 501.12, 679.78]"
308471,TORRANCE,306091,DOUGLAS,EL SEGUNDO,66,1,16.52,105,104,"[340.51, 526.79, 405.5, 640.71]"
308471,TORRANCE,302297,TRISONIC,EL SEGUNDO,66,1,16.27,102,101,"[340.51, 527.87, 405.5, 640.71]"
308471,TORRANCE,303540,CARSON,COMPTON,66,1,15.82,82,81,"[400.2, 593.52, 548.73, 641.25]"
308471,TORRANCE,301543,SEPLUVEDA,EL SEGUNDO,66,0,15.02,92,91,"[339.33, 530.78, 405.5, 640.71]"
308471,TORRANCE,309156,FELTON,DEL AIRE,66,2,14.23,79,78,"[364.84, 534.54, 405.5, 640.71]"
308471,TORRANCE,308216,ROLLING HILLS,TORRANCE,66,1,14.2,108,107,"[356.5, 607.16, 405.5, 669.31]"
308471,TORRANCE,310204,EL NIDO,HAWTHORNE,230,7,11.45,67,66,"[364.84, 559.16, 405.5, 640.71]"
308471,TORRANCE,302164,BRIGHTON,GARDENA,115,2,11.08,69,68,"[400.2, 551.14, 438.08, 641.25]"
308471,TORRANCE,304137,HALLDALE,LOS ANGELES,138,3,9.15,53,52,"[400.2, 605.04, 453.13, 641.25]"
308471,TORRANCE,304731,REDONDO,REDONDO BEACH,66,1,8.35,56,55,"[349.51, 607.16, 405.5, 640.71]"
308471,TORRANCE,305084,VICTORIA,REDONDO BEACH,66,3,6.64,43,42,"[364.31, 604.89, 405.5, 640.71]"
308471,TORRANCE,306844,LA FRESA,TORRANCE,230,12,6.45,39,38,"[397.69, 591.54, 413.9, 640.71]"
308471,TORRANCE,308806,MOBILOIL,TORRANCE,66,3,5.13,30,29,"[400.2, 605.61, 418.56, 641.25]"
308471,TORRANCE,303303,HUGHTRON,TORRANCE,66,1,2.89,15,14,"[396.43, 640.71, 405.18, 664.44]"
