Stage,Crew_ID,Crew_Origin_ID,Substation_ID,Start_Time,End_Time,Duration,Travel_Time
Stage4_SanFernando_impact-first,17,D04,303371,0.4215833118166912,4.045423284180602,3.6238399723639114,0.4215833118166912
Stage4_SanFernando_impact-first,18,D04,300105,0.6611546474718367,1.961324761477829,1.3001701140059925,0.6611546474718367
Stage4_SanFernando_impact-first,19,D04,308206,0.2798600662196588,2.2504874010205924,1.9706273348009338,0.2798600662196588
Stage4_SanFernando_impact-first,20,D04,301541,0.5105949944473888,1.8566094320311137,1.346014437583725,0.5105949944473888
Stage4_SanFernando_impact-first,21,D04,307512,0.2433781497916179,8.679732547499018,8.436354397707401,0.2433781497916179
Stage4_SanFernando_impact-first,22,D04,308494,0.257634917252396,9.046296315072999,8.788661397820603,0.257634917252396
Stage4_SanFernando_impact-first,23,D04,301156,0.3432094004302999,1.4493703206109518,1.106160920180652,0.3432094004302999
Stage4_SanFernando_impact-first,24,D04,300829,0.4208140167635789,7.8381159677243835,7.4173019509608045,0.4208140167635789
Stage4_SanFernando_impact-first,25,D04,304040,0.4111930315978428,4.681605811464348,4.270412779866506,0.4111930315978428
Stage4_SanFernando_impact-first,26,D04,310199,0.181017085452713,29.333843275973955,29.152826190521242,0.181017085452713
Stage4_SanFernando_impact-first,27,D04,307693,0.1578621167706032,31.750865814148145,31.593003697377544,0.1578621167706032
Stage4_SanFernando_impact-first,28,D04,309843,0.2828040889681025,1.812414834475159,1.5296107455070564,0.2828040889681025
Stage4_SanFernando_impact-first,29,D04,306768,0.2252064427569911,3.9716938712133296,3.7464874284563385,0.2252064427569911
Stage4_SanFernando_impact-first,30,D04,308269,0.428341388493546,1.8701798819237965,1.4418384934302504,0.428341388493546
Stage4_SanFernando_impact-first,31,D04,301214,0.220143657568028,30.78737025627365,30.567226598705624,0.220143657568028
Stage4_SanFernando_impact-first,32,D04,306489,0.220143657568028,29.793092496657128,29.5729488390891,0.220143657568028
Stage4_SanFernando_betweenness-first,0,D01,301105,0.2566486615146731,1.5234301446475114,1.2667814831328383,0.2566486615146731
Stage4_SanFernando_betweenness-first,1,D02,300429,0.2704071705823979,15.260375198940768,14.98996802835837,0.2704071705823979
Stage4_SanFernando_betweenness-first,2,D02,300105,0.3240646639605162,1.6242347779665087,1.3001701140059925,0.3240646639605162
