tract_id,scenario,peak_outage_prob
6037204910,Northridge,0.1
6037204920,Northridge,0.1
6037205110,Northridge,0.1
6037205120,Northridge,0.1
6037206010,Northridge,0.12100000000000001
6037206020,Northridge,0.12100000000000001
6037206050,Northridge,0.11
6037206051,Northridge,0.11
6037206052,Northridge,0.11
6037206053,Northridge,0.11
6037206054,Northridge,0.11099999999999999
6037206201,Northridge,0.092
6037206202,Northridge,0.092
6037206301,Northridge,0.092
6037206302,Northridge,0.092
6037206303,Northridge,0.092
6037207101,Northridge,0.12100000000000001
6037207102,Northridge,0.12100000000000001
6037207103,Northridge,0.12100000000000001
6037207303,Northridge,0.092
6037207304,Northridge,0.092
6037207305,Northridge,0.092
6037207306,Northridge,0.092
6037207307,Northridge,0.092
6037207308,Northridge,0.092
6037207400,Northridge,0.092
6037207501,Northridge,0.094
6037207502,Northridge,0.092
6037207711,Northridge,0.095
6037207712,Northridge,0.092
6037207901,Northridge,0.095
6037207902,Northridge,0.092
6037208001,Northridge,0.095
6037208002,Northridge,0.07400000000000001
6037208301,Northridge,0.07
6037208302,Northridge,0.07100000000000001
6037208401,Northridge,0.046
6037208402,Northridge,0.04
6037208501,Northridge,0.036000000000000004
6037208502,Northridge,0.038000000000000006
6037208610,Northridge,0.189
6037208620,Northridge,0.172
6037208710,Northridge,0.14
6037208720,Northridge,0.030000000000000002
6037208801,Northridge,0.04
6037208802,Northridge,0.037000000000000005
6037208902,Northridge,0.065
6037208903,Northridge,0.046
6037208904,Northridge,0.062
6037209103,Northridge,0.093
6037209104,Northridge,0.077
6037209105,Northridge,0.077
6037209106,Northridge,0.09
6037209201,Northridge,0.095
6037209202,Northridge,0.096
6037209300,Northridge,0.093
6037209401,Northridge,0.038000000000000006
6037209402,Northridge,0.046
6037209403,Northridge,0.069
6037209510,Northridge,0.04
6037209520,Northridge,0.059
6037209810,Northridge,0.04
6037209820,Northridge,0.055999999999999994
6037210010,Northridge,0.08199999999999999
6037211000,Northridge,0.279
6037211121,Northridge,0.194
6037211122,Northridge,0.194
6037211123,Northridge,0.112
6037211124,Northridge,0.14600000000000002
6037211201,Northridge,0.194
6037211202,Northridge,0.2
6037211310,Northridge,0.176
6037211320,Northridge,0.182
6037211410,Northridge,0.16899999999999998
6037211420,Northridge,0.179
6037211500,Northridge,0.265
6037211701,Northridge,0.244
6037211703,Northridge,0.22500000000000003
6037211704,Northridge,0.20900000000000002
6037211802,Northridge,0.1
6037211803,Northridge,0.135
6037211804,Northridge,0.117
6037211910,Northridge,0.14400000000000002
6037211921,Northridge,0.15200000000000002
6037211922,Northridge,0.14700000000000002
6037212101,Northridge,0.116
6037212102,Northridge,0.11
6037212202,Northridge,0.025
6037212203,Northridge,0.021
6037212204,Northridge,0.025
6037212303,Northridge,0.093
6037212304,Northridge,0.089
6037212305,Northridge,0.019
6037212306,Northridge,0.021
6037212410,Northridge,0.086
6037212420,Northridge,0.071
6037212501,Northridge,0.135
6037212502,Northridge,0.162
6037212610,Northridge,0.194
6037212620,Northridge,0.17400000000000002
6037212701,Northridge,0.187
6037212702,Northridge,0.23800000000000002
6037212800,Northridge,0.21200000000000002
6037212900,Northridge,0.15600000000000003
6037213100,Northridge,0.138
6037213201,Northridge,0.018
6037213202,Northridge,0.018
6037213310,Northridge,0.021
6037213320,Northridge,0.021
6037213401,Northridge,0.027
6037213402,Northridge,0.030000000000000002
6037214000,Northridge,0.273
6037214100,Northridge,0.273
6037214400,Northridge,0.273
6037214501,Northridge,0.274
6037214503,Northridge,0.277
6037214504,Northridge,0.277
