OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
206400792,,CASA DE VIDA,050000085,ICF/Dev. Disabled,879 MEINECKE AVE,SAN LUIS OBISPO,93405,40,San Luis Obispo,Not Applicable,59,Open,1972-05-30,Long Term Care Facility,ICF/Dev. Disabled,35.29181940,-120.66864700
206401892,25675,VINEYARD HILLS HEALTH CENTER,050000125,Skilled Nursing Facility,290 HEATHER COURT,TEMPLETON,93465,40,San Luis Obispo,Not Applicable,99,Open,1986-04-10,Long Term Care Facility,Skilled Nursing Facility,35.55287410,-120.71828180
206404041,27522,SAN LUIS TRANSITIONAL CARE,050000548,Skilled Nursing Facility,1575 BISHOP ST,SAN LUIS OBISPO,93401,40,San Luis Obispo,Not Applicable,23,Open,2000-06-13,Long Term Care Facility,Skilled Nursing Facility,35.27494990,-120.64466170
206410734,20784,BELMONT HEALTHCARE CENTER,220000004,Skilled Nursing Facility,2140 CARLMONT DRIVE,BELMONT,94002,41,San Mateo,Not Applicable,74,Open,1962-06-09,Long Term Care Facility,Skilled Nursing Facility,37.50976060,-122.29485750
206410787,20794,PENINSULA POST-ACUTE,220000017,Skilled Nursing Facility,1609 TROUSDALE DRIVE,BURLINGAME,94010,41,San Mateo,Not Applicable,62,Open,2008-10-20,Long Term Care Facility,Skilled Nursing Facility,37.59280740,-122.38455780
206410820,22797,ATHERTON PARK POST-ACUTE,220000369,Skilled Nursing Facility,1275 CRANE STREET,MENLO PARK,94025,41,San Mateo,Not Applicable,160,Open,1970-07-20,Long Term Care Facility,Skilled Nursing Facility,37.45216790,-122.18802740
206410844,22630,PACIFICA NURSING AND REHABILITATION CENTER,220000035,Skilled Nursing Facility,385 ESPLANADE AVE,PACIFICA,94044,41,San Mateo,Not Applicable,68,Open,1970-05-14,Long Term Care Facility,Skilled Nursing Facility,37.65144640,-122.49223960
206410877,20807,SAN BRUNO SKILLED NURSING,220000042,Skilled Nursing Facility,890 EL CAMINO REAL,SAN BRUNO,94066,41,San Mateo,Not Applicable,45,Open,1963-05-10,Long Term Care Facility,Skilled Nursing Facility,37.63047270,-122.41718590
206410893,20812,"SEQUOIAS, THE",220000047,Skilled Nursing Facility,501 PORTOLA ROAD,PORTOLA VALLEY,94028,41,San Mateo,Not Applicable,43,Open,1964-02-01,Long Term Care Facility,Skilled Nursing Facility,37.37353790,-122.22225530
206410896,20822,MILLBRAE CARE CENTER,220000050,Skilled Nursing Facility,33 MATEO AVENUE,MILLBRAE,94030,41,San Mateo,Not Applicable,140,Open,1969-10-24,Long Term Care Facility,Skilled Nursing Facility,37.60547620,-122.39425770
206410903,22733,GOLDEN PAVILION HEALTHCARE,220000052,Skilled Nursing Facility,99 ESCUELA DRIVE,DALY CITY,94015,41,San Mateo,Not Applicable,239,Open,1971-01-01,Long Term Care Facility,Skilled Nursing Facility,37.67475130,-122.47625150
206410904,20806,GOLDEN HEIGHTS HEALTHCARE,220000053,Skilled Nursing Facility,35 ESCUELA DRIVE,DALY CITY,94015,41,San Mateo,Not Applicable,102,Open,1968-09-01,Long Term Care Facility,Skilled Nursing Facility,37.67486830,-122.47759570
206411305,20800,LINDA MAR CARE CENTER,220000095,Skilled Nursing Facility,751 SAN PEDRO TERRACE ROAD,PACIFICA,94044,41,San Mateo,Not Applicable,59,Open,1964-02-11,Long Term Care Facility,Skilled Nursing Facility,37.58941390,-122.50124910
206413500,22652,BURLINGAME HEALTH CARE CENTER D/P SNF,220000015,General Acute Care Hospital,1100 TROUSDALE DRIVE,BURLINGAME,94010,41,San Mateo,None,281,Open,2003-08-01,Hospital,General Acute Care Hospital,37.59546950,-122.38280690
206413502,20780,BROOKSIDE SKILLED NURSING HOSPITAL,220000171,Skilled Nursing Facility,2620 FLORES STREET,SAN MATEO,94403,41,San Mateo,Not Applicable,96,Open,1966-10-01,Long Term Care Facility,Skilled Nursing Facility,37.54252990,-122.30672640
206413509,20791,DEVONSHIRE OAKS NURSING CENTER,220000175,Skilled Nursing Facility,3635 JEFFERSON AVENUE,REDWOOD CITY,94062,41,San Mateo,Not Applicable,38,Open,1962-07-31,Long Term Care Facility,Skilled Nursing Facility,37.46434390,-122.25283760
206414094,,THE CENTER FOR DISCOVERY AND ADOLESCENT CHANGES,550000127,Congregate Living Health Facility,1895 ALTSCHUL AVENUE,MENLO PARK,94025,41,San Mateo,Not Applicable,6,Open,2006-02-27,Long Term Care Facility,Congregate Living Health Facility,37.43426000,-122.21157940
206420243,,ALSANA - SANTA BARBARA,550003424,Congregate Living Health Facility,166 TORO CANYON ROAD,CARPINTERIA,93013,42,Santa Barbara,Not Applicable,6,Open,2020-04-23,Long Term Care Facility,Congregate Living Health Facility,34.41779310,-119.57424860
206420469,20825,THE CALIFORNIAN,050000052,Skilled Nursing Facility,2225 DE LA VINA STREET,SANTA BARBARA,93105,42,Santa Barbara,Not Applicable,68,Open,2004-05-01,Long Term Care Facility,Skilled Nursing Facility,34.43100430,-119.72057760
206420474,20828,VALLEY OAKS POST ACUTE,050000027,Skilled Nursing Facility,830 EAST CHAPEL STREET,SANTA MARIA,93454,42,Santa Barbara,Not Applicable,59,Open,1968-07-31,Long Term Care Facility,Skilled Nursing Facility,34.95403850,-120.42329480
206420486,,"HILLSIDE HOUSE, INC",050000036,ICF/Dev. Disabled,1235 VERONICA SPRINGS ROAD,SANTA BARBARA,93105,42,Santa Barbara,Not Applicable,59,Open,1955-04-27,Long Term Care Facility,ICF/Dev. Disabled,34.41962980,-119.74402910
206420488,20834,SANTA MARIA POST ACUTE,050000037,Skilled Nursing Facility,820 WEST COOK STREET,SANTA MARIA,93458,42,Santa Barbara,Not Applicable,55,Open,1962-11-21,Long Term Care Facility,Skilled Nursing Facility,34.94902250,-120.44570120
206420499,20839,MISSION PARK HEALTHCARE CENTER,050000044,Skilled Nursing Facility,623 WEST JUNIPERO STREET,SANTA BARBARA,93105,42,Santa Barbara,Not Applicable,138,Open,1968-09-30,Long Term Care Facility,Skilled Nursing Facility,34.42747460,-119.72681800
206420510,20841,SAMARKAND SKILLED NURSING FACILITY,050000051,Skilled Nursing Facility,2566 TREASURE DRIVE,SANTA BARBARA,93105,42,Santa Barbara,Not Applicable,63,Open,2000-05-01,Long Term Care Facility,Skilled Nursing Facility,34.43006150,-119.73024390
206420523,22973,ATTERDAG CARE CENTER,050000058,Skilled Nursing Facility,636 ATTERDAG ROAD,SOLVANG,93463,42,Santa Barbara,Not Applicable,54,Open,1973-10-04,Long Term Care Facility,Skilled Nursing Facility,34.60085620,-120.13993980
206420534,20832,VALLE VERDE HEALTH FACILITY,050000067,Skilled Nursing Facility,900 CALLE DE LOS AMIGOS,SANTA BARBARA,93105,42,Santa Barbara,Not Applicable,80,Open,1967-02-21,Long Term Care Facility,Skilled Nursing Facility,34.42390990,-119.75160440
206420552,23353,LOMPOC VALLEY MEDICAL CENTER COMPREHENSIVE CARE CENTER D/P SNF,050000038,General Acute Care Hospital,216 NORTH THIRD STREET,LOMPOC,93436,42,Santa Barbara,None,110,Open,1975-08-22,Hospital,General Acute Care Hospital,34.64191260,-120.44474220
