"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US06037113237","Census Tract 1132.37; Los Angeles County; California","1672","180","0","13","213","201","246","127","140","70","207","99","587","153","131","49","25","28","37","42","86","109",
"1400000US06037113238","Census Tract 1132.38; Los Angeles County; California","1519","198","0","13","48","46","65","75","0","13","307","112","407","205","302","130","364","107","26","32","0","13",
"1400000US06037113239","Census Tract 1132.39; Los Angeles County; California","890","71","0","13","42","61","165","103","79","73","77","57","228","103","263","92","23","33","13","19","0","13",
"1400000US06037113301","Census Tract 1133.01; Los Angeles County; California","1835","184","158","103","684","191","213","113","8","14","34","33","142","65","274","135","322","160","0","13","0","13",
"1400000US06037113303","Census Tract 1133.03; Los Angeles County; California","1284","84","0","13","0","13","69","66","23","36","13","22","140","80","172","76","811","121","56","46","0","13",
"1400000US06037113322","Census Tract 1133.22; Los Angeles County; California","1546","210","0","13","159","184","9","15","38","45","130","84","422","133","545","129","233","89","0","13","10","16",
"1400000US06037113323","Census Tract 1133.23; Los Angeles County; California","1551","128","0","13","0","13","4","15","0","13","519","159","601","187","238","131","61","50","82","65","46","61",
"1400000US06037113324","Census Tract 1133.24; Los Angeles County; California","1043","363","0","13","0","13","0","13","83","77","76","60","288","76","521","371","45","52","0","13","30","33",
"1400000US06037113423","Census Tract 1134.23; Los Angeles County; California","866","123","0","13","52","61","0","13","10","17","68","50","134","67","117","72","382","153","87","60","16","26",
"1400000US06037113424","Census Tract 1134.24; Los Angeles County; California","1335","243","19","30","246","145","53","64","10","16","32","40","76","113","254","157","563","127","60","43","22","30",
"1400000US06037113425","Census Tract 1134.25; Los Angeles County; California","1370","156","0","13","107","78","5","13","225","102","426","157","257","115","165","81","101","75","55","67","29","33",
"1400000US06037113426","Census Tract 1134.26; Los Angeles County; California","731","97","0","13","0","13","0","13","36","33","90","61","41","34","141","61","423","111","0","13","0","13",
"1400000US06037113427","Census Tract 1134.27; Los Angeles County; California","989","54","0","13","11","16","7","13","187","110","289","148","373","146","74","62","13","24","0","13","35","57",
